"Statistic","Census Year","County","UNIT","Area farmed (AAU)","Commonage","Pasture","Hay","Grass silage","Total crops fruit and horticulture","Total cereals","Rough grazing in use","All grassland"
"Farms with Crops","2020","Co. Meath","Number","4505","","3694","917","2755","985","598","432","4399"
"Farms with Crops","2020","Co. Monaghan","Number","4477","","3816","594","3607","430","29","766","4450"
"Farms with Crops","2020","Co. Mayo","Number","11920","","9569","1339","8418","1147","32","3766","11907"
"Farms with Crops","2020","Co. Offaly","Number","3298","","2781","836","2431","782","447","548","3282"
"Farms with Crops","2020","Co. Roscommon","Number","6089","","5182","1443","4728","938","44","1356","6081"
"Farms with Crops","2020","Co. Sligo","Number","4181","","3535","703","2989","376","8","1022","4179"
"Farms with Crops","2020","Co. Tipperary","Number","7404","","6373","1561","5237","1190","670","1034","7328"
"Farms with Crops","2020","Co. Waterford","Number","2600","","2143","437","1754","485","245","475","2580"
"Farms with Crops","2020","Co. Wicklow","Number","2456","","2051","519","1396","601","349","622","2417"
"Farms with Crops","2020","Co. Westmeath","Number","3437","","2915","690","2437","735","195","586","3422"
"Farms with Crops","2020","Co. Wexford","Number","4330","","3388","1127","2740","1752","1656","523","4142"
"Area under Crops","2000","Co. Clare","Hectares","210477","","109565","16003","53478","2100","241","29331","208377"
"Area under Crops","2000","Co. Cork","Hectares","533785","","243569","19013","147342","66838","43112","57023","466947"
"Area under Crops","2000","Co. Cavan","Hectares","138314","","76571","7277","44157","2153","768","8156","136161"
"Area under Crops","2000","Co. Carlow","Hectares","71931","","30840","4383","13365","19666","13690","3677","52265"
"Area under Crops","2000","Co. Donegal","Hectares","230610","","89937","9291","33786","10265","7005","87331","220345"
"Area under Crops","2000","Co. Dublin","Hectares","37734","","11955","2194","4233","18070","12831","1282","19664"
"Area under Crops","2000","Co. Galway","Hectares","335833","","175534","18404","74643","7586","3537","59666","328247"
"Area under Crops","2000","Co. Kildare","Hectares","112518","","53896","8028","17069","29545","24615","3980","82973"
"Area under Crops","2000","Co. Kilkenny","Hectares","160464","","78623","9864","44704","22514","16800","4759","137950"
"Area under Crops","2000","Co. Kerry","Hectares","278175","","115982","10192","63847","5007","1571","83147","273168"
"Area under Crops","2000","Co. Longford","Hectares","73764","","44351","5547","20132","855","271","2879","72909"
"Area under Crops","2000","Co. Louth","Hectares","61972","","23552","3084","12106","21695","17046","1535","40277"
"Area under Crops","2000","Co. Limerick","Hectares","201979","","116344","13345","62322","2803","941","7165","199176"
"Area under Crops","2000","Co. Leitrim","Hectares","91477","","53347","8438","18786","515","40","10391","90962"
"Area under Crops","2000","Co. Laois","Hectares","119910","","57241","7475","30904","18739","13621","5551","101171"
"Area under Crops","2000","Co. Meath","Hectares","179473","","93118","9692","41379","32142","22667","3142","147331"
"Area under Crops","2000","Co. Monaghan","Hectares","99586","","54025","3584","36701","1814","799","3462","97772"
"Area under Crops","2000","Co. Mayo","Hectares","274238","","141494","10587","59999","3949","598","58209","270289"
"Area under Crops","2000","Co. Offaly","Hectares","121426","","64577","8649","31157","11639","8956","5404","109787"
"Area under Crops","2000","Co. Roscommon","Hectares","159508","","94605","14705","38721","1863","543","9614","157645"
"Area under Crops","2000","Co. Sligo","Hectares","110346","","64263","5588","24049","1298","351","15148","109048"
"Area under Crops","2000","Co. Tipperary","Hectares","308527","","167143","16999","84848","27958","20436","11579","280569"
"Area under Crops","2000","Co. Waterford","Hectares","124363","","61644","5452","33008","12514","8344","11745","111849"
"Area under Crops","2000","Co. Wicklow","Hectares","101707","","49377","6184","19685","13959","10874","12502","87748"
"Area under Crops","2000","Co. Westmeath","Hectares","119969","","75140","7264","27101","5751","4228","4713","114218"
"Area under Crops","2000","Co. Wexford","Hectares","184985","","71454","11354","37178","59886","45160","5113","125099"
"Area under Crops","2010","Co. Clare","Hectares","213449","","119518","11314","55493","198","64","26926","213251"
"Area under Crops","2010","Co. Cork","Hectares","541314","","276637","19103","143380","55141","40519","47052","486172"
"Area under Crops","2010","Co. Cavan","Hectares","139374","","82775","5818","41794","315","54","8672","139059"
"Area under Crops","2010","Co. Carlow","Hectares","70637","","33058","4049","12781","18159","14610","2590","52478"
"Area under Crops","2010","Co. Donegal","Hectares","257841","","125322","6865","39843","8149","6124","77661","249691"
"Area under Crops","2010","Co. Dublin","Hectares","37963","","12366","1761","3953","17700","11107","2184","20264"
"Area under Crops","2010","Co. Galway","Hectares","347123","","199847","13611","78989","4845","3490","49830","342277"
"Area under Crops","2010","Co. Kildare","Hectares","113765","","55099","6587","17965","30810","26849","3305","82956"
"Area under Crops","2010","Co. Kilkenny","Hectares","164604","","86870","8089","45469","19109","15062","5068","145496"
"Area under Crops","2010","Co. Kerry","Hectares","286387","","144569","9052","60344","2650","1696","69771","283736"
"Area under Crops","2010","Co. Longford","Hectares","72733","","45949","3749","19646","343","203","3048","72392"
"Area under Crops","2010","Co. Louth","Hectares","60938","","24155","2449","11539","20981","16339","1815","39958"
"Area under Crops","2010","Co. Limerick","Hectares","206954","","125793","10937","59573","2058","923","8593","204896"
"Area under Crops","2010","Co. Leitrim","Hectares","92155","","60270","4352","17651","59","3","9824","92097"
"Area under Crops","2010","Co. Laois","Hectares","122553","","64142","6328","30448","17611","14749","4025","104943"
"Area under Crops","2010","Co. Meath","Hectares","191846","","100455","8568","40905","37023","27552","4895","154823"
"Area under Crops","2010","Co. Monaghan","Hectares","106290","","63046","3099","35375","704","333","4064","105584"
"Area under Crops","2010","Co. Mayo","Hectares","278997","","169334","8455","57715","591","360","42901","278405"
"Area under Crops","2010","Co. Offaly","Hectares","126248","","70600","7291","32330","10952","9047","5074","115295"
"Area under Crops","2010","Co. Roscommon","Hectares","171293","","110099","9178","42334","984","656","8699","170310"
"Area under Crops","2010","Co. Sligo","Hectares","115450","","74328","4048","24003","141","42","12929","115308"
"Area under Crops","2010","Co. Tipperary","Hectares","312953","","177789","14289","83727","25240","21059","11907","287712"
"Area under Crops","2010","Co. Waterford","Hectares","125849","","69829","4427","32557","10503","7458","8534","115347"
"Area under Crops","2010","Co. Wicklow","Hectares","101366","","56513","5279","19858","11936","9198","7782","89432"
"Area under Crops","2010","Co. Westmeath","Hectares","128371","","81935","5091","29828","5954","4679","5564","122418"
"Area under Crops","2010","Co. Wexford","Hectares","182485","","77277","10001","38876","51771","41724","4562","130716"
"Area under Crops","2020","Co. Clare","Hectares","201828.7","3982.7","104032","7024.7","61751","754.1","164.1","28102.8","200911"
"Area under Crops","2020","Co. Cork","Hectares","529666.3","21098.5","268403","13120.5","160595.1","11248.4","35422.9","40876.5","482995"
"Area under Crops","2020","Co. Cavan","Hectares","134079.8","4287.1","75073","2784.2","46535.9","","","9023.2","133417"
"Area under Crops","2020","Co. Carlow","Hectares","70209.1","2330.8","30542","3022.3","15669.5","4134.1","14889.4","1952","51186"
"Area under Crops","2020","Co. Donegal","Hectares","256468.2","72659.3","117438","4385.7","46252.4","2559.2","4371.7","81461.7","249537"
"Area under Crops","2020","Co. Dublin","Hectares","33041.1","2289.7","11002","1234.2","3200.9","4855.5","11020.7","1728","17165"
"Area under Crops","2020","Co. Galway","Hectares","336401.3","62760.8","178325","10393","91041.6","3364.3","2911.9","50365.7","330125"
"Area under Crops","2020","Co. Kildare","Hectares","113448.7","1280.6","51715","6065.1","19558","5869.1","27666.6","2574.7","79913"
"Area under Crops","2020","Co. Kilkenny","Hectares","163342.8","490.8","84921","5002.8","52614.4","4549.5","13223.1","3031.7","145570"
"Area under Crops","2020","Co. Kerry","Hectares","288624.2","61734.1","132513","6885","67850.1","766.4","1997.5","78612.5","285860"
"Area under Crops","2020","Co. Longford","Hectares","71084.7","200.4","41625","2368.6","22364.7","805.2","294.3","3627.3","69985"
"Area under Crops","2020","Co. Louth","Hectares","61473.3","2663.7","23885","2262.1","13120.3","4395.5","15765.5","2045","41312"
"Area under Crops","2020","Co. Limerick","Hectares","203731.5","2180.7","116415","8858","68732.1","683.1","844.3","8199.2","202204"
"Area under Crops","2020","Co. Leitrim","Hectares","87776.8","13373.3","49109","2803.7","21884.5","","","13610.2","87408"
"Area under Crops","2020","Co. Laois","Hectares","121700.7","1439.6","59710","4958.4","35675.4","3475.4","14679.8","3202.2","103546"
"Area under Crops","2020","Co. Meath","Hectares","197366.2","59.1","96485","7433.7","49139","11645.7","28254.6","4407.8","157466"
"Area under Crops","2020","Co. Monaghan","Hectares","104046.3","","57512","2597.9","38411","578.2","294.8","4652.9","103173"
"Area under Crops","2020","Co. Mayo","Hectares","279319.3","103446.4","147923","4862.2","74386.3","1281.9","305.8","50560.3","277732"
"Area under Crops","2020","Co. Offaly","Hectares","123851.8","208.6","66014","5362.7","36912.1","2764.6","8691.5","4107.1","112396"
"Area under Crops","2020","Co. Roscommon","Hectares","168541.1","1280.1","97926","6393.4","50293.3","1385.5","568.8","11974","166587"
"Area under Crops","2020","Co. Sligo","Hectares","113323.8","12672.6","68051","2878.5","27977","464.4","95","13858.3","112764"
"Area under Crops","2020","Co. Tipperary","Hectares","312355.8","12242","177604","9589.3","91316.7","5027.6","19632.1","9186.2","287696"
"Area under Crops","2020","Co. Waterford","Hectares","122230.8","9215.4","67425","2770.7","36328.6","2798.3","6463.3","6445.4","112969"
"Area under Crops","2020","Co. Wicklow","Hectares","103225.1","26860.2","53511","3937.3","22749.7","3235.6","10726.5","9065.5","89263"
"Area under Crops","2020","Co. Westmeath","Hectares","130918.2","3.6","75817","4670.5","37475","2635.9","4538.5","5781","123744"
"Area under Crops","2020","Co. Wexford","Hectares","181200.8","2526.9","73313","7599.6","42534.2","12008","42660.1","3086","126533"
