Year,County,N_AAU,N_Pasture,N_Hay,N_Grass_silage,N_Horticulture,N_Cereals,N_Rough_grazing,N_Grassland,A_AAU,A_Pastures,A_Hay,A_Grass_Silage,A_Horticulture,A_Cereals,A_Rough_Grazing,A_Grassland
2010,Meath,4570.0,3235,998.0,2310.0,850.0,620.0,850.0,4306,191846.0,100455,8568.0,40905.0,37023.0,27552.0,4895.0,154823
2010,Monaghan,4570.0,3322,523.0,3043.0,140.0,40.0,1010.0,4449,106290.0,63046,3099.0,35375.0,704.0,333.0,4064.0,105584
2010,Mayo,12460.0,9457,1501.0,7127.0,280.0,70.0,3820.0,12363,278997.0,169334,8455.0,57715.0,591.0,360.0,42901.0,278405
2010,Offaly,3460.0,2561,958.0,2125.0,740.0,570.0,760.0,3358,126248.0,70600,7291.0,32330.0,10952.0,9047.0,5074.0,115295
2010,Roscommon,6310.0,4891,1543.0,3904.0,190.0,70.0,1450.0,6241,171293.0,110099,9178.0,42334.0,984.0,656.0,8699.0,170310
2010,Sligo,4400.0,3411,692.0,2582.0,80.0,10.0,1110.0,4344,115450.0,74328,4048.0,24003.0,141.0,42.0,12929.0,115308
2010,Tipperary,7730.0,5545,1757.0,4523.0,1210.0,870.0,1860.0,7474,312953.0,177789,14289.0,83727.0,25240.0,21059.0,11907.0,287712
2010,Waterford,2760.0,1977,525.0,1612.0,560.0,340.0,790.0,2666,125849.0,69829,4427.0,32557.0,10503.0,7458.0,8534.0,115347
2010,Wicklow,2390.0,1799,593.0,1204.0,500.0,350.0,690.0,2314,101366.0,56513,5279.0,19858.0,11936.0,9198.0,7782.0,89432
2010,Westmeath,3460.0,2649,723.0,2018.0,350.0,210.0,710.0,3369,128371.0,81935,5091.0,29828.0,5954.0,4679.0,5564.0,122418
2010,Wexford,4430.0,2981,1260.0,2380.0,2110.0,1800.0,1010.0,4222,182485.0,77277,10001.0,38876.0,51771.0,41724.0,4562.0,130716
2020,Clare,6297.0,5153,1553.0,5073.0,613.0,6.0,1961.0,6292,201828.7,104032,7024.7,61751.0,754.1,164.1,28102.8,200911
2020,Carlow,1723.0,1407,462.0,1050.0,599.0,483.0,308.0,1664,70209.1,30542,3022.3,15669.5,4134.1,14889.4,1952.0,51186
2020,Donegal,9347.0,7008,1097.0,4713.0,961.0,260.0,4305.0,9316,256468.2,117438,4385.7,46252.4,2559.2,4371.7,81461.7,249537
2020,Dublin,699.0,489,160.0,234.0,212.0,221.0,100.0,619,33041.1,11002,1234.2,3200.9,4855.5,11020.7,1728.0,17165
2020,Galway,12717.0,10198,2256.0,8220.0,1930.0,243.0,3626.0,12701,336401.3,178325,10393.0,91041.6,3364.3,2911.9,50365.7,330125
2020,Kildare,2533.0,1989,625.0,1233.0,576.0,590.0,271.0,2442,113448.7,51715,6065.1,19558.0,5869.1,27666.6,2574.7,79913
